stim_picname,stim_pic_sizeX,stim_pic_sizeY
000-1.png,1920,1600
000-2.png,1920,1636
000-3.png,1920,1596
001-1.png,1920,1585
001-2.png,1920,1611
001-3.png,1920,1572
010-1.png,1920,1586
010-2.png,1920,1563
010-3.png,1920,1586
011-1.png,1920,1586
011-2.png,1920,1586
011-3.png,1920,1625
100-1.png,1920,1582
100-2.png,1920,1586
100-3.png,1920,1586
101-1.png,1920,1568
101-2.png,1920,1586
101-3.png,1920,1548
110-1.png,1920,1586
110-2.png,1920,1586
110-3.png,1920,1586
111-1.png,1920,1586
111-2.png,1920,1586
111-3.png,1920,1586
